,itself-1,,inout-1,max-1,oppdir-1,samedir-1,,,lag-1,,inout-1,max-1,oppdir-1,samedir-1
"""46/5/2""",0.41,,0.47,0.52,0.41,0.53,,,,,,,,
"""46/5/1""",0.39,,0.45,0.27,0.39,0.52,,,,,,,,
"""1/11/2""",0.89,,0.91,0.92,0.89,0.94,,,,,,,,
"""1/11/1""",0.95,,0.91,0.92,0.95,0.86,,,,,,,,
"""7/12/1""",0.00,,-0.11,0.32,0.00,-0.26,,,,,,,,
"""35/5/1""",0.51,,0.52,0.48,0.51,0.53,,,,,,,,
"""30/2/2""",-0.02,,0.03,-0.05,-0.02,0.09,,,,,,,,
"""15/1/2""",0.39,,0.34,0.26,0.39,0.26,,,,,,,,
"""35/2/1""",0.05,,0.12,0.32,0.05,0.20,,,,,,,,
"""8/1/2""",0.22,,0.23,0.25,0.22,0.25,,,,,,,,
"""21/3/1""",0.05,,0.12,0.32,0.05,0.20,,,,,,,,
"""5/1/2""",0.64,,0.69,0.79,0.64,0.79,,,,,,,,
"""5/1/1""",0.74,,0.67,0.77,0.74,0.53,,,,,,,,
"""21/2/1""",0.13,,0.18,0.34,0.13,0.24,,,,,,,,
"""21/2/2""",0.08,,0.12,0.11,0.08,0.18,,,,,,,,
"""30/23/1""",-0.06,,0.03,-0.10,-0.06,0.17,,,,,,,,
"""30/23/2""",0.07,,0.19,0.36,0.07,0.38,,,,,,,,
"""14/5/2""",0.49,,0.51,0.69,0.49,0.53,,,,,,,,
"""30/1/1""",0.12,,0.10,-0.01,0.12,0.09,,,,,,,,
"""30/1/2""",0.08,,0.10,-0.01,0.08,0.13,,,,,,,,
"""14/5/1""",0.48,,0.45,0.58,0.48,0.41,,,,,,,,
"""4/7/1""",0.78,,0.78,0.52,0.78,0.79,,,,,,,,
"""30/22/1""",0.26,,0.13,0.26,0.26,-0.08,,,,,,,,
"""30/22/2""",0.05,,0.12,0.36,0.05,0.22,,,,,,,,
"""14/4/2""",0.23,,0.16,0.12,0.23,0.07,,,,,,,,
"""14/4/1""",0.27,,0.21,0.18,0.27,0.12,,,,,,,,
"""14/7/1""",0.60,,0.57,0.57,0.60,0.54,,,,,,,,
"""14/7/2""",0.41,,0.51,0.72,0.41,0.64,,,,,,,,
"""36/4/2""",0.22,,0.25,0.46,0.22,0.29,,,,,,,,
"""36/4/1""",0.31,,0.23,0.38,0.31,0.10,,,,,,,,
"""14/6/1""",0.43,,0.44,0.69,0.43,0.45,,,,,,,,
"""14/6/2""",0.43,,0.49,0.48,0.43,0.55,,,,,,,,
"""7/9/1""",0.32,,0.30,0.47,0.32,0.27,,,,,,,,
"""16/4/1""",0.46,,0.54,0.38,0.46,0.67,,,,,,,,
"""4/7/2""",0.82,,0.80,0.53,0.82,0.78,,,,,,,,
"""16/4/2""",0.64,,0.49,0.30,0.64,0.25,,,,,,,,
"""3/3/2""",0.04,,0.05,-0.06,0.04,0.06,,,,,,,,
"""3/3/1""",0.09,,0.09,0.27,0.09,0.09,,,,,,,,
"""4/2/2""",0.64,,0.63,0.13,0.64,0.61,,,,,,,,
"""16/3/2""",0.41,,0.44,0.22,0.41,0.47,,,,,,,,
"""22/3/2""",0.32,,0.29,0.05,0.32,0.25,,,,,,,,
"""22/3/1""",0.34,,0.29,0.05,0.34,0.21,,,,,,,,
"""16/3/1""",0.36,,0.40,0.67,0.36,0.47,,,,,,,,
"""3/2/2""",0.03,,0.00,-0.07,0.03,-0.05,,,,,,,,
"""3/2/1""",0.07,,0.05,0.03,0.07,0.01,,,,,,,,
"""14/3/1""",0.05,,0.01,-0.09,0.05,-0.06,,,,,,,,
"""14/3/2""",0.14,,0.12,0.08,0.14,0.10,,,,,,,,
"""42/2/1""",0.09,,0.17,0.00,0.09,0.26,,,,,,,,
"""14/2/1""",0.06,,0.06,0.02,0.06,0.07,,,,,,,,
"""8/4/1""",0.02,,0.09,0.27,0.02,0.17,,,,,,,,
"""14/2/2""",0.08,,0.08,0.05,0.08,0.08,,,,,,,,
"""12/3/2""",0.48,,0.48,0.75,0.48,0.48,,,,,,,,
