,ICODUBLI2_TemperatureC,IDUBLINC2_dailyrainMM,IDUBLINC2_TemperatureC,ILEINSTE8_TemperatureC,ILEINSTE8_dailyrainMM,ICODUBLI2_dailyrainMM,_index
57,-0.34036229191525436,-0.06518478334866361,-0.2953450008018873,-0.3536563657593036,-0.04433487894536879,-0.13143051026191147,13_6_1
58,-0.2229678010226901,-0.11566703651567045,-0.18672971040562733,-0.2599064906475412,-0.06886332651629347,-0.11773502253805361,13_6_2
59,0.2954942002679914,0.0980212638428584,0.25855051770040083,0.29480401805475753,0.01591886713882798,0.13559825217283733,13_1_2
60,0.3082474145189841,0.08409858073397128,0.26020754143956926,0.29844603829558347,0.06481396564026574,0.1460675247373172,13_1_1
61,0.3286667542047526,-0.0004141336576892574,0.2965670725906242,0.3152206481737052,-0.05232887357041497,0.10430525035241159,13_3_2
62,0.3216109545464411,0.07486975301073762,0.26396290727251315,0.30413949780557153,-0.20760734742538173,-0.09399312565225552,14_7_2
63,0.06947969980564916,0.15504474074384975,0.13282575746364075,0.034759108038079856,-0.005611777434284967,0.10869478126720089,14_7_1
64,0.24300094469821207,0.07889066141470918,0.1541677736886646,0.21925755676154005,-0.2521264128296525,-0.10223531301868978,14_6_2
65,0.07315230560689995,0.1271628633732557,0.09752081462196144,0.03040208036040714,-0.0645431281614068,0.006620799167117575,14_6_1
66,0.06547744261770257,0.2305967223100046,0.12301546311663143,-0.007931892739844792,0.051552161580103895,0.017880988265665813,14_5_1
67,0.04845604499047197,0.016361356866271003,-0.0213075818048005,-0.010154165053320063,-0.19282279628257104,-0.0971051187762743,14_5_2
68,0.16256280989033398,-0.007073878841030968,0.16673989266987935,0.10821262701671146,-0.0788910899434396,0.03290445229975173,14_4_1
69,0.13872177570619593,0.07454674573735703,0.14034934004179833,0.11092203598471737,-0.08398736856468242,0.03812399754395936,14_4_2
70,0.3949159636232998,0.053587275675493755,0.33992786902332184,0.4052598042415818,-0.007523275599544563,0.09984784286726699,14_3_2
71,-0.11637901959940763,0.1515853178490624,-0.0007652836185252509,-0.13284879413575987,-0.04186042572775474,0.06312562896657721,14_3_1
72,-0.15108953317167934,0.12524499754372712,-0.08111092894855988,-0.1733294388710226,-0.004580044121049855,0.053869119272403544,14_9_1
73,0.2821361118421459,0.11247612645529738,0.28849171999237977,0.2618065293844488,0.12160774800642095,0.18042643939660025,14_9_2
74,0.2075848450757024,0.32167379481527947,0.26852959381690167,0.18570116862106784,0.046014889214686217,0.1721859027824172,14_8_1
75,0.02990101265590586,0.14022045291223514,0.05618827223083538,0.056102938772595055,0.013868507452279554,0.08333586826771391,14_8_2
76,0.09080377391708425,0.01755739531181184,0.09509583889369655,0.10345971518860499,-0.08584435782549195,-0.04385365194643625,14_2_2
77,0.05470947936463128,0.2861987115098228,0.1400137609961689,0.04580004058418371,0.010093263330402554,0.21193642492072925,14_2_1
78,0.11066012338280522,0.03576553316019238,0.13186195974590523,0.09271241970253245,-0.09985073058808566,0.029468556504700084,14_1_1
79,0.2925743338501954,-0.008656984885246025,0.23436792430388426,0.28857568123061383,-0.09998003102710205,0.04042612886713488,14_1_2
80,0.09358705638410997,0.15490443571394785,0.10775025615705686,0.09755837143810193,0.055492941133659754,0.05127987496730848,14_10_2
81,-0.20778750779394572,0.11532663412231153,-0.13381008917397805,-0.18964293390054818,0.09827460157181862,-0.00979228962021393,14_10_1
82,0.12895841320274487,-0.14577001384256344,0.027363922619393855,0.19341861924772794,0.04448293061734746,0.20220474114399908,15_12_2
83,0.09382661625871473,0.1380175572216778,0.16539929255054248,0.09390948967478889,0.11440664504157023,0.09635105257841343,15_12_1
84,0.05953372192195119,-0.1094245323737145,-0.014433198713418879,0.14740864361519726,0.11140700040456228,0.139684174925728,15_11_1
85,0.32122661521581314,-0.0393908435423278,0.26907746990824355,0.3389106902409672,-0.04125941387722278,0.09684342517283528,15_11_2
